Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.323	4.5765	93.53	5.2598	46.98
6	Standard 2	Calibration Standard	3.32	9.4643	93.03	10.8776	96.15
7	Standard 3	Calibration Standard	3.317	19.3246	92.87	22.2102	194.36
8	Standard 4	Calibration Standard	3.3	100.0108	92.77	114.9449	980.87
9	Standard 5	Calibration Standard	3.297	200.0995	92.72	229.9793	1926.83
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_TEMPEST_SW_B4_20240426_15cm	Unknown	3.327	7.6074	1.61	0.1749	1.64
13	2_TEMPEST_SW_F6_20240426_15cm	Unknown	3.33	7.7143	1.61	0.1773	1.66
14	3_TEMPEST_C_H3_20240426_15cm	Unknown	3.33	8.0793	1.75	0.1857	1.74
15	4_TEMPEST_FW_C6_20240426_15cm	Unknown	3.327	0.5644	0.15	0.013	0.17
16	Standard 4	Check Standard	3.303	99.9277	92.77	114.8494	982.04
17	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
18	5_TEMPEST_C_I5_20240426_15cm	Unknown	3.33	0.5591	0.14	0.0129	0.17
