Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.323 	4.4852 	94.45 	5.1480 	46.51 
6	Standard 2	Calibration Standard	3.323 	9.4258 	93.44 	10.8185 	96.11 
7	Standard 3	Calibration Standard	3.317 	19.2703 	93.08 	22.1177 	193.63 
8	Standard 4	Calibration Standard	3.303 	100.1493 	92.79 	114.9471 	978.65 
9	Standard 5	Calibration Standard	3.300 	200.0399 	92.74 	229.5974 	1915.23 
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	72_TEMPEST_SW_B4_20240613_15cm_T-5	Unknown	3.307 	3154.1253 	82.37 	72.4034 	620.28 
13	73_TEMPEST_SW_I5_20240613_15cm_T-5	Unknown	3.307 	3039.0678 	82.93 	69.7623 	597.86 
14	74_TEMPEST_FW_F4_20240613_15cm_T-5	Unknown	3.333 	4.5565 	1.05 	0.1046 	0.99 
15	75_TEMPEST_FW_E3_20240613_15cm_T-5	Unknown	3.320 	2.9130 	0.77 	0.0669 	0.64 
16	76_TEMPEST_FW_C3_20240613_15cm_T-5	Unknown	3.330 	4.2773 	0.94 	0.0982 	0.94 
17	77_TEMPEST_FW_D5_20240613_15cm_T-5	Unknown	3.330 	4.6767 	1.06 	0.1074 	1.02 
18	Standard 2	Check Standard	3.323 	9.5891 	93.31 	11.0060 	97.72 
19	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
20	78_TEMPEST_FW_F6_20240613_15cm_T-5	Unknown	3.330 	3.9461 	0.89 	0.0906 	0.88 
21	79_TEMPEST_FW_I5_20240613_15cm_T-5	Unknown	3.333 	4.9657 	1.05 	0.1140 	1.09 
22	80_TEMPEST_FW_H6_20240613_15cm_T-5	Unknown	3.317 	3.1788 	0.86 	0.0730 	0.70 
23	80_TEMPEST_FW_H6_20240613_15cm_T-5_DUP	Unknown	3.330 	3.5633 	0.81 	0.0818 	0.80 
24	81_TEMPEST_FW_B4_20240613_15cm_T-5	Unknown	3.313 	2.2908 	0.61 	0.0526 	0.51 
25	81_TEMPEST_FW_B4_20240613_15cm_T-5_SPK	Spiked	3.330 	4.2069 	0.83 	0.0966 	0.93 
26	Standard 1	Check Standard	3.323 	4.6084 	93.76 	5.2894 	47.21 
27	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
28	82_TEMPEST_FW_C6_20240613_15cm_T-5	Unknown	3.330 	5.3511 	1.19 	0.1228 	1.17 
29	83_TEMPEST_FW_H3_20240613_15cm_T-5	Unknown	3.330 	4.0385 	0.94 	0.0927 	0.89 
